TERRITORIO;TIPOLOGÍA PENAL;2012_ene_jun;2013_ene_jun;var_porc_13s12
Provincia de Valencia/València;6.-TRÁFICO DE DROGAS (EU);376;432;14,9
Provincia de Valencia/València;7.-DAÑOS;9953;8807;-11,5
Provincia de Valencia/València;8.-HURTOS;22405;21661;-3,3
COMUNITAT VALENCIANA;1.-DELITOS Y FALTAS (EU);137215;129785;-5,4
COMUNITAT VALENCIANA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);28;20;-28,6
COMUNITAT VALENCIANA;3.-DELINCUENCIA VIOLENTA (EU);5962;5616;-5,8
COMUNITAT VALENCIANA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);4975;4672;-6,1
COMUNITAT VALENCIANA;4.-ROBOS CON FUERZA;30559;28400;-7,1
COMUNITAT VALENCIANA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);12890;12633;-2
COMUNITAT VALENCIANA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);3023;2582;-14,6
COMUNITAT VALENCIANA;6.-TRÁFICO DE DROGAS (EU);733;824;12,4
COMUNITAT VALENCIANA;7.-DAÑOS;18041;16285;-9,7
COMUNITAT VALENCIANA;8.-HURTOS;42044;40967;-2,6
Provincia de Badajoz;1.-DELITOS Y FALTAS (EU);9784;10488;7,2
Provincia de Badajoz;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);10;3;-70
Provincia de Badajoz;3.-DELINCUENCIA VIOLENTA (EU);192;254;32,3
Provincia de Badajoz;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);131;167;27,5
Provincia de Badajoz;4.-ROBOS CON FUERZA;1720;1901;10,5
Provincia de Badajoz;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);445;573;28,8
Provincia de Badajoz;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);150;125;-16,7
Provincia de Badajoz;6.-TRÁFICO DE DROGAS (EU);91;93;2,2
Provincia de Badajoz;7.-DAÑOS;1114;1128;1,3
Provincia de Badajoz;8.-HURTOS;2855;3402;19,2
Provincia de Cáceres;1.-DELITOS Y FALTAS (EU);4612;4539;-1,6
Provincia de Cáceres;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;2;100
Provincia de Cáceres;3.-DELINCUENCIA VIOLENTA (EU);105;89;-15,2
Provincia de Cáceres;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);44;45;2,3
Provincia de Cáceres;4.-ROBOS CON FUERZA;870;862;-0,9
Provincia de Cáceres;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);209;248;18,7
Provincia de Cáceres;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);56;72;28,6
Provincia de Cáceres;6.-TRÁFICO DE DROGAS (EU);31;36;16,1
Provincia de Cáceres;7.-DAÑOS;606;519;-14,4
Provincia de Cáceres;8.-HURTOS;1410;1460;3,5
EXTREMADURA;1.-DELITOS Y FALTAS (EU);14396;15027;4,4
EXTREMADURA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);11;5;-54,5
EXTREMADURA;3.-DELINCUENCIA VIOLENTA (EU);297;343;15,5
EXTREMADURA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);175;212;21,1
EXTREMADURA;4.-ROBOS CON FUERZA;2590;2763;6,7
EXTREMADURA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);654;821;25,5
EXTREMADURA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);206;197;-4,4
EXTREMADURA;6.-TRÁFICO DE DROGAS (EU);122;129;5,7
EXTREMADURA;7.-DAÑOS;1720;1647;-4,2
EXTREMADURA;8.-HURTOS;4265;4862;14
Provincia de Coruña (A);1.-DELITOS Y FALTAS (EU);16306;15881;-2,6
Provincia de Coruña (A);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;4;33,3
Provincia de Coruña (A);3.-DELINCUENCIA VIOLENTA (EU);556;472;-15,1
Provincia de Coruña (A);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);331;295;-10,9
Provincia de Coruña (A);4.-ROBOS CON FUERZA;2331;2528;8,5
Provincia de Coruña (A);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);634;824;30
Provincia de Coruña (A);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);320;290;-9,4
Provincia de Coruña (A);6.-TRÁFICO DE DROGAS (EU);61;67;9,8
Provincia de Coruña (A);7.-DAÑOS;2433;2165;-11
Provincia de Coruña (A);8.-HURTOS;4719;4845;2,7
Provincia de Lugo;1.-DELITOS Y FALTAS (EU);3898;3688;-5,4
Provincia de Lugo;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;1;-66,7
Provincia de Lugo;3.-DELINCUENCIA VIOLENTA (EU);129;121;-6,2
Provincia de Lugo;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);60;54;-10
Provincia de Lugo;4.-ROBOS CON FUERZA;683;700;2,5
Provincia de Lugo;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);242;256;5,8
Provincia de Lugo;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);55;42;-23,6
Provincia de Lugo;6.-TRÁFICO DE DROGAS (EU);15;24;60
Provincia de Lugo;7.-DAÑOS;534;464;-13,1
Provincia de Lugo;8.-HURTOS;978;991;1,3
Provincia de Ourense;1.-DELITOS Y FALTAS (EU);4145;4724;14
Provincia de Ourense;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100
Provincia de Ourense;3.-DELINCUENCIA VIOLENTA (EU);112;128;14,3
Provincia de Ourense;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);77;88;14,3
Provincia de Ourense;4.-ROBOS CON FUERZA;692;886;28
Provincia de Ourense;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);213;325;52,6
Provincia de Ourense;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);63;64;1,6
Provincia de Ourense;6.-TRÁFICO DE DROGAS (EU);15;14;-6,7
Provincia de Ourense;7.-DAÑOS;521;585;12,3
Provincia de Ourense;8.-HURTOS;1127;1516;34,5
Provincia de Pontevedra;1.-DELITOS Y FALTAS (EU);15409;15749;2,2
Provincia de Pontevedra;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;4;300
Provincia de Pontevedra;3.-DELINCUENCIA VIOLENTA (EU);521;493;-5,4
Provincia de Pontevedra;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);236;259;9,7
Provincia de Pontevedra;4.-ROBOS CON FUERZA;2310;2749;19
Provincia de Pontevedra;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);670;906;35,2
Provincia de Pontevedra;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);349;354;1,4
Provincia de Pontevedra;6.-TRÁFICO DE DROGAS (EU);116;77;-33,6
Provincia de Pontevedra;7.-DAÑOS;2137;2126;-0,5
Provincia de Pontevedra;8.-HURTOS;4109;4304;4,7
GALICIA;1.-DELITOS Y FALTAS (EU);39758;40042;0,7
GALICIA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);8;9;12,5
GALICIA;3.-DELINCUENCIA VIOLENTA (EU);1318;1214;-7,9
GALICIA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);704;696;-1,1
GALICIA;4.-ROBOS CON FUERZA;6016;6863;14,1
GALICIA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1759;2311;31,4
GALICIA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);787;750;-4,7
GALICIA;6.-TRÁFICO DE DROGAS (EU);207;182;-12,1
GALICIA;7.-DAÑOS;5625;5340;-5,1
GALICIA;8.-HURTOS;10933;11656;6,6
MADRID (COMUNIDAD DE);1.-DELITOS Y FALTAS (EU);197483;195332;-1,1
MADRID (COMUNIDAD DE);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);18;17;-5,6
MADRID (COMUNIDAD DE);3.-DELINCUENCIA VIOLENTA (EU);12927;12679;-1,9
MADRID (COMUNIDAD DE);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);11743;11622;-1
MADRID (COMUNIDAD DE);4.-ROBOS CON FUERZA;32179;30731;-4,5
MADRID (COMUNIDAD DE);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);6940;7819;12,7
MADRID (COMUNIDAD DE);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);6656;6524;-2
MADRID (COMUNIDAD DE);6.-TRÁFICO DE DROGAS (EU);1107;919;-17
MADRID (COMUNIDAD DE);7.-DAÑOS;24361;22895;-6
MADRID (COMUNIDAD DE);8.-HURTOS;75588;78318;3,6
MURCIA (REGION DE);1.-DELITOS Y FALTAS (EU);28356;28080;-1
MURCIA (REGION DE);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);4;3;-25
MURCIA (REGION DE);3.-DELINCUENCIA VIOLENTA (EU);1094;1167;6,7
MURCIA (REGION DE);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);816;892;9,3
MURCIA (REGION DE);4.-ROBOS CON FUERZA;6535;6842;4,7
MURCIA (REGION DE);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);2773;3096;11,6
MURCIA (REGION DE);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);785;781;-0,5
MURCIA (REGION DE);6.-TRÁFICO DE DROGAS (EU);148;151;2
MURCIA (REGION DE);7.-DAÑOS;2747;2453;-10,7
MURCIA (REGION DE);8.-HURTOS;7971;8784;10,2
NAVARRA (COMUNIDAD FORAL DE);1.-DELITOS Y FALTAS (EU);10297;10508;2
NAVARRA (COMUNIDAD FORAL DE);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;2;100
NAVARRA (COMUNIDAD FORAL DE);3.-DELINCUENCIA VIOLENTA (EU);307;349;13,7
NAVARRA (COMUNIDAD FORAL DE);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);103;130;26,2
NAVARRA (COMUNIDAD FORAL DE);4.-ROBOS CON FUERZA;1865;1643;-11,9
NAVARRA (COMUNIDAD FORAL DE);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);551;511;-7,3
NAVARRA (COMUNIDAD FORAL DE);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);95;132;38,9
NAVARRA (COMUNIDAD FORAL DE);6.-TRÁFICO DE DROGAS (EU);49;57;16,3
NAVARRA (COMUNIDAD FORAL DE);7.-DAÑOS;1440;1502;4,3
NAVARRA (COMUNIDAD FORAL DE);8.-HURTOS;2747;3166;15,3
Provincia de Araba/Álava;1.-DELITOS Y FALTAS (EU);6855;6703;-2,2
Provincia de Araba/Álava;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;3;100
Provincia de Araba/Álava;3.-DELINCUENCIA VIOLENTA (EU);293;227;-22,5
Provincia de Araba/Álava;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);212;165;-22,2
Provincia de Araba/Álava;4.-ROBOS CON FUERZA;1000;1137;13,7
Provincia de Araba/Álava;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);261;283;8,4
Provincia de Araba/Álava;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);35;45;28,6
Provincia de Araba/Álava;6.-TRÁFICO DE DROGAS (EU);22;24;9,1
Provincia de Araba/Álava;7.-DAÑOS;751;688;-8,4
Provincia de Araba/Álava;8.-HURTOS;2407;2453;1,9
Provincia de Gipuzkoa;1.-DELITOS Y FALTAS (EU);12316;11582;-6
Provincia de Gipuzkoa;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;1;-66,7
Provincia de Gipuzkoa;3.-DELINCUENCIA VIOLENTA (EU);386;278;-28
Provincia de Gipuzkoa;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);250;149;-40,4
Provincia de Gipuzkoa;4.-ROBOS CON FUERZA;2988;2647;-11,4
Provincia de Gipuzkoa;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);736;692;-6
Provincia de Gipuzkoa;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);132;112;-15,2
Provincia de Gipuzkoa;6.-TRÁFICO DE DROGAS (EU);64;49;-23,4
Provincia de Gipuzkoa;7.-DAÑOS;1171;941;-19,6
Provincia de Gipuzkoa;8.-HURTOS;2738;2795;2,1
Provincia de Bizkaia;1.-DELITOS Y FALTAS (EU);26138;26492;1,4
Provincia de Bizkaia;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);6;5;-16,7
Provincia de Bizkaia;3.-DELINCUENCIA VIOLENTA (EU);1637;1352;-17,4
Provincia de Bizkaia;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);1334;1077;-19,3
Provincia de Bizkaia;4.-ROBOS CON FUERZA;4458;5139;15,3
Provincia de Bizkaia;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1428;1565;9,6
Provincia de Bizkaia;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);208;219;5,3
Provincia de Bizkaia;6.-TRÁFICO DE DROGAS (EU);127;118;-7,1
Provincia de Bizkaia;7.-DAÑOS;3029;2563;-15,4
Provincia de Bizkaia;8.-HURTOS;7738;8258;6,7
PAÍS VASCO;1.-DELITOS Y FALTAS (EU);45309;44777;-1,2
PAÍS VASCO;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);9;9;0
PAÍS VASCO;3.-DELINCUENCIA VIOLENTA (EU);2316;1857;-19,8
PAÍS VASCO;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);1796;1391;-22,6
PAÍS VASCO;4.-ROBOS CON FUERZA;8446;8923;5,6
PAÍS VASCO;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);2425;2540;4,7
PAÍS VASCO;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);375;376;0,3
PAÍS VASCO;6.-TRÁFICO DE DROGAS (EU);213;191;-10,3
PAÍS VASCO;7.-DAÑOS;4951;4192;-15,3
PAÍS VASCO;8.-HURTOS;12883;13506;4,8
RIOJA (LA);1.-DELITOS Y FALTAS (EU);4886;4747;-2,8
RIOJA (LA);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
RIOJA (LA);3.-DELINCUENCIA VIOLENTA (EU);181;186;2,8
RIOJA (LA);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);91;112;23,1
RIOJA (LA);4.-ROBOS CON FUERZA;924;1153;24,8
RIOJA (LA);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);294;448;52,4
RIOJA (LA);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);56;55;-1,8
RIOJA (LA);6.-TRÁFICO DE DROGAS (EU);34;27;-20,6
RIOJA (LA);7.-DAÑOS;571;544;-4,7
RIOJA (LA);8.-HURTOS;1502;1415;-5,8
CIUDAD AUTÓNOMA DE CEUTA;1.-DELITOS Y FALTAS (EU);3590;3094;-13,8
CIUDAD AUTÓNOMA DE CEUTA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
CIUDAD AUTÓNOMA DE CEUTA;3.-DELINCUENCIA VIOLENTA (EU);103;127;23,3
CIUDAD AUTÓNOMA DE CEUTA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);77;104;35,1
CIUDAD AUTÓNOMA DE CEUTA;4.-ROBOS CON FUERZA;299;344;15,1
CIUDAD AUTÓNOMA DE CEUTA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);44;44;0
CIUDAD AUTÓNOMA DE CEUTA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);224;220;-1,8
CIUDAD AUTÓNOMA DE CEUTA;6.-TRÁFICO DE DROGAS (EU);948;558;-41,1
CIUDAD AUTÓNOMA DE CEUTA;7.-DAÑOS;257;231;-10,1
CIUDAD AUTÓNOMA DE CEUTA;8.-HURTOS;570;616;8,1
CIUDAD AUTÓNOMA DE MELILLA;1.-DELITOS Y FALTAS (EU);2220;2515;13,3
CIUDAD AUTÓNOMA DE MELILLA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;0;-100
CIUDAD AUTÓNOMA DE MELILLA;3.-DELINCUENCIA VIOLENTA (EU);138;201;45,7
CIUDAD AUTÓNOMA DE MELILLA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);97;146;50,5
CIUDAD AUTÓNOMA DE MELILLA;4.-ROBOS CON FUERZA;272;377;38,6
CIUDAD AUTÓNOMA DE MELILLA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);38;33;-13,2
CIUDAD AUTÓNOMA DE MELILLA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);91;110;20,9
CIUDAD AUTÓNOMA DE MELILLA;6.-TRÁFICO DE DROGAS (EU);85;118;38,8
CIUDAD AUTÓNOMA DE MELILLA;7.-DAÑOS;179;185;3,4
CIUDAD AUTÓNOMA DE MELILLA;8.-HURTOS;575;651;13,2
EXTRANJERA;1.-DELITOS Y FALTAS (EU);7862;7892;0,4
EXTRANJERA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
EXTRANJERA;3.-DELINCUENCIA VIOLENTA (EU);91;115;26,4
EXTRANJERA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);87;109;25,3
EXTRANJERA;4.-ROBOS CON FUERZA;164;116;-29,3
EXTRANJERA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);14;10;-28,6
EXTRANJERA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);87;47;-46
EXTRANJERA;6.-TRÁFICO DE DROGAS (EU);2;1;-50
EXTRANJERA;7.-DAÑOS;21;21;0
EXTRANJERA;8.-HURTOS;1271;1044;-17,9
DESCONOCIDA;1.-DELITOS Y FALTAS (EU);0;0;0
DESCONOCIDA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
DESCONOCIDA;3.-DELINCUENCIA VIOLENTA (EU);0;0;0
DESCONOCIDA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);0;0;0
DESCONOCIDA;4.-ROBOS CON FUERZA;0;0;0
DESCONOCIDA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);0;0;0
DESCONOCIDA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);0;0;0
DESCONOCIDA;6.-TRÁFICO DE DROGAS (EU);0;0;0
DESCONOCIDA;7.-DAÑOS;0;0;0
DESCONOCIDA;8.-HURTOS;0;0;0
NACIONAL;1.-DELITOS Y FALTAS (EU);1115831;1085578;-2,7
NACIONAL;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);199;189;-5
NACIONAL;3.-DELINCUENCIA VIOLENTA (EU);55281;53603;-3
NACIONAL;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);45481;44381;-2,4
NACIONAL;4.-ROBOS CON FUERZA;202662;198835;-1,9
NACIONAL;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);62056;65315;5,3
NACIONAL;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);26969;24888;-7,7
NACIONAL;6.-TRÁFICO DE DROGAS (EU);7439;6738;-9,4
NACIONAL;7.-DAÑOS;126130;115654;-8,3
NACIONAL;8.-HURTOS;377658;378835;0,3
