Comunidades,Años,Trimestre,PIB
Andalucía,1995,1,7.2
Andalucía,1995,2,7.3
Andalucía,1995,3,7.4
Andalucía,1995,4,7.4
Andalucía,1996,1,7.7
Andalucía,1996,2,7.5
Andalucía,1996,3,7.7
Andalucía,1996,4,8.3
Andalucía,1997,1,8.5
Andalucía,1997,2,8.7
Andalucía,1997,3,8.8
Andalucía,1997,4,8.9
Andalucía,1998,1,8.8
Andalucía,1998,2,8.7
Andalucía,1998,3,8.7
Andalucía,1998,4,8.7
Andalucía,1999,1,8.6
Andalucía,1999,2,8.6
Andalucía,1999,3,8.1
Andalucía,1999,4,8.2
Andalucía,2000,1,8.2
Andalucía,2000,2,8.1
Andalucía,2000,3,8.4
Andalucía,2000,4,8.1
Andalucía,2001,1,7.9
Andalucía,2001,2,7.8
Andalucía,2001,3,7.8
Andalucía,2001,4,7.7
Andalucía,2002,1,7.4
Andalucía,2002,2,7.5
Andalucía,2002,3,7.2
Andalucía,2002,4,7.1
Andalucía,2003,1,6.8
Andalucía,2003,2,7
Andalucía,2003,3,7.1
Andalucía,2003,4,6.8
Andalucía,2004,1,6.7
Andalucía,2004,2,6.7
Andalucía,2004,3,6.4
Andalucía,2004,4,6.3
Andalucía,2005,1,6.2
Andalucía,2005,2,6.2
Andalucía,2005,3,6.1
Andalucía,2005,4,5.7
Andalucía,2006,1,5.6
Andalucía,2006,2,5.3
Andalucía,2006,3,5.3
Andalucía,2006,4,5.3
Andalucía,2007,1,5.1
Andalucía,2007,2,4.9
Andalucía,2007,3,4.9
Andalucía,2007,4,4.8
Andalucía,2008,1,4.7
Andalucía,2008,2,4.6
Andalucía,2008,3,4.6
Andalucía,2008,4,5.4
Andalucía,2009,1,5.5
Andalucía,2009,2,5.8
Andalucía,2009,3,6.6
Andalucía,2009,4,6.9
Andalucía,2010,1,7.6
Andalucía,2010,2,8
Andalucía,2010,3,8
Andalucía,2010,4,8.6
Andalucía,2011,1,9.1
Andalucía,2011,2,9.5
Andalucía,2011,3,9.7
Andalucía,2011,4,10.2
Andalucía,2012,1,11.1
Andalucía,2012,2,13.1
Andalucía,2012,3,13.5
Andalucía,2012,4,15.1
Andalucía,2013,1,15.3
Andalucía,2013,2,15.8
Andalucía,2013,3,16.4
Andalucía,2013,4,17.8
Andalucía,2014,1,19
Andalucía,2014,2,19.2
Andalucía,2014,3,20
Andalucía,2014,4,21.1
Andalucía,2015,1,20.5
Andalucía,2015,2,21.2
Andalucía,2015,3,21.2
Andalucía,2015,4,21.8
Andalucía,2016,1,21.8
Andalucía,2016,2,22.1
Andalucía,2016,3,21.8
Andalucía,2016,4,22.3
Andalucía,2017,1,21.6
Andalucía,2017,2,22.3
Andalucía,2017,3,21.9
Andalucía,2017,4,22.1
Andalucía,2018,1,21.9
Andalucía,2018,2,21.8
Andalucía,2018,3,21.6
Andalucía,2018,4,22.1
Andalucía,2019,1,22
Andalucía,2019,2,22.3
Andalucía,2019,3,21.8
Cataluña,1995,1,7.1
Cataluña,1995,2,7.3
Cataluña,1995,3,7.3
Cataluña,1995,4,8.1
Cataluña,1996,1,8
Cataluña,1996,2,8.1
Cataluña,1996,3,8.1
Cataluña,1996,4,8.7
Cataluña,1997,1,9
Cataluña,1997,2,9.4
Cataluña,1997,3,9.4
Cataluña,1997,4,9.4
Cataluña,1998,1,9.4
Cataluña,1998,2,9.6
Cataluña,1998,3,9.2
Cataluña,1998,4,9.3
Cataluña,1999,1,9.3
Cataluña,1999,2,9.3
Cataluña,1999,3,8.8
Cataluña,1999,4,8.8
Cataluña,2000,1,9.1
Cataluña,2000,2,9.1
Cataluña,2000,3,8.7
Cataluña,2000,4,8.3
Cataluña,2001,1,8.2
Cataluña,2001,2,8.1
Cataluña,2001,3,7.9
Cataluña,2001,4,8.1
Cataluña,2002,1,7.9
Cataluña,2002,2,7.7
Cataluña,2002,3,7.6
Cataluña,2002,4,7.7
Cataluña,2003,1,7.6
Cataluña,2003,2,7.6
Cataluña,2003,3,7.5
Cataluña,2003,4,7.2
Cataluña,2004,1,7.4
Cataluña,2004,2,7.2
Cataluña,2004,3,7.3
Cataluña,2004,4,7.5
Cataluña,2005,1,8.7
Cataluña,2005,2,8.5
Cataluña,2005,3,8.4
Cataluña,2005,4,8.3
Cataluña,2006,1,8.3
Cataluña,2006,2,8.2
Cataluña,2006,3,8.2
Cataluña,2006,4,7.8
Cataluña,2007,1,8.1
Cataluña,2007,2,7.9
Cataluña,2007,3,7.5
Cataluña,2007,4,7.8
Cataluña,2008,1,8.6
Cataluña,2008,2,9.1
Cataluña,2008,3,9
Cataluña,2008,4,10
Cataluña,2009,1,11.4
Cataluña,2009,2,12.8
Cataluña,2009,3,13.1
Cataluña,2009,4,12.7
Cataluña,2010,1,13.9
Cataluña,2010,2,15.8
Cataluña,2010,3,16.1
Cataluña,2010,4,17.5
Cataluña,2011,1,19.3
Cataluña,2011,2,20.8
Cataluña,2011,3,21.2
Cataluña,2011,4,22
Cataluña,2012,1,22.2
Cataluña,2012,2,24.2
Cataluña,2012,3,24.2
Cataluña,2012,4,26.8
Cataluña,2013,1,27.1
Cataluña,2013,2,27.7
Cataluña,2013,3,28.4
Cataluña,2013,4,30.1
Cataluña,2014,1,31.2
Cataluña,2014,2,31.7
Cataluña,2014,3,32.3
Cataluña,2014,4,32.8
Cataluña,2015,1,32.5
Cataluña,2015,2,33.1
Cataluña,2015,3,33.7
Cataluña,2015,4,35.3
Cataluña,2016,1,34.9
Cataluña,2016,2,35.4
Cataluña,2016,3,35.1
Cataluña,2016,4,35.1
Cataluña,2017,1,34.9
Cataluña,2017,2,35.1
Cataluña,2017,3,34.8
Cataluña,2017,4,34.8
Cataluña,2018,1,34.5
Cataluña,2018,2,34.7
Cataluña,2018,3,34.4
Cataluña,2018,4,34.2
Cataluña,2019,1,33.9
Cataluña,2019,2,33.8
Cataluña,2019,3,33.3
Aragón,1995,1,4.5
Aragón,1995,2,4.5
Aragón,1995,3,4.3
Aragón,1995,4,4.4
Aragón,1996,1,4.3
Aragón,1996,2,4.1
Aragón,1996,3,4.3
Aragón,1996,4,4.6
Aragón,1997,1,4.6
Aragón,1997,2,4.7
Aragón,1997,3,4.4
Aragón,1997,4,5.1
Aragón,1998,1,4.9
Aragón,1998,2,4.7
Aragón,1998,3,4.5
Aragón,1998,4,4.9
Aragón,1999,1,5
Aragón,1999,2,4.7
Aragón,1999,3,4.4
Aragón,1999,4,4.9
Aragón,2000,1,4.6
Aragón,2000,2,4.5
Aragón,2000,3,4.9
Aragón,2000,4,4.7
Aragón,2001,1,4.5
Aragón,2001,2,4.3
Aragón,2001,3,4.2
Aragón,2001,4,4.4
Aragón,2002,1,4.1
Aragón,2002,2,4.3
Aragón,2002,3,4.1
Aragón,2002,4,4.6
Aragón,2003,1,4.5
Aragón,2003,2,4.2
Aragón,2003,3,4.2
Aragón,2003,4,4.4
Aragón,2004,1,4.3
Aragón,2004,2,4.2
Aragón,2004,3,4.2
Aragón,2004,4,4.2
Aragón,2005,1,4
Aragón,2005,2,4.1
Aragón,2005,3,4
Aragón,2005,4,4
Aragón,2006,1,3.7
Aragón,2006,2,3.7
Aragón,2006,3,3.9
Aragón,2006,4,3.7
Aragón,2007,1,3.4
Aragón,2007,2,3.4
Aragón,2007,3,3.4
Aragón,2007,4,3.4
Aragón,2008,1,3.1
Aragón,2008,2,3.4
Aragón,2008,3,3.1
Aragón,2008,4,4.3
Aragón,2009,1,4.3
Aragón,2009,2,5.4
Aragón,2009,3,5.3
Aragón,2009,4,5.5
Aragón,2010,1,6.5
Aragón,2010,2,7.6
Aragón,2010,3,7.6
Aragón,2010,4,8.4
Aragón,2011,1,9.6
Aragón,2011,2,9.7
Aragón,2011,3,9.9
Aragón,2011,4,10
Aragón,2012,1,11.2
Aragón,2012,2,12.7
Aragón,2012,3,12.9
Aragón,2012,4,14.2
Aragón,2013,1,15.3
Aragón,2013,2,15.7
Aragón,2013,3,16.3
Aragón,2013,4,16.5
Aragón,2014,1,18.7
Aragón,2014,2,18.9
Aragón,2014,3,18.4
Aragón,2014,4,18.3
Aragón,2015,1,18.7
Aragón,2015,2,20.2
Aragón,2015,3,20.2
Aragón,2015,4,20.7
Aragón,2016,1,21.1
Aragón,2016,2,22
Aragón,2016,3,21.5
Aragón,2016,4,21.8
Aragón,2017,1,21.9
Aragón,2017,2,22.2
Aragón,2017,3,21.6
Aragón,2017,4,22
Aragón,2018,1,22.5
Aragón,2018,2,22.4
Aragón,2018,3,22
Aragón,2018,4,22
Aragón,2019,1,21.8
Aragón,2019,2,22.2
Aragón,2019,3,21.9
Extremadura,1995,1,6.4
Extremadura,1995,2,6.2
Extremadura,1995,3,6
Extremadura,1995,4,5.8
Extremadura,1996,1,6.3
Extremadura,1996,2,6
Extremadura,1996,3,6.3
Extremadura,1996,4,6.2
Extremadura,1997,1,6.6
Extremadura,1997,2,6.5
Extremadura,1997,3,6.4
Extremadura,1997,4,6
Extremadura,1998,1,6.5
Extremadura,1998,2,6.3
Extremadura,1998,3,6.1
Extremadura,1998,4,6.1
Extremadura,1999,1,6.6
Extremadura,1999,2,6.4
Extremadura,1999,3,6.5
Extremadura,1999,4,6.2
Extremadura,2000,1,5.9
Extremadura,2000,2,5.7
Extremadura,2000,3,5.6
Extremadura,2000,4,5.7
Extremadura,2001,1,5.9
Extremadura,2001,2,6.2
Extremadura,2001,3,6.1
Extremadura,2001,4,6.2
Extremadura,2002,1,6.2
Extremadura,2002,2,6.3
Extremadura,2002,3,5.6
Extremadura,2002,4,6.4
Extremadura,2003,1,6.2
Extremadura,2003,2,6
Extremadura,2003,3,5.9
Extremadura,2003,4,6
Extremadura,2004,1,5.9
Extremadura,2004,2,5.7
Extremadura,2004,3,5.6
Extremadura,2004,4,5.6
Extremadura,2005,1,5.4
Extremadura,2005,2,5.3
Extremadura,2005,3,5.1
Extremadura,2005,4,5.1
Extremadura,2006,1,5.1
Extremadura,2006,2,4.9
Extremadura,2006,3,4.8
Extremadura,2006,4,4.8
Extremadura,2007,1,4.7
Extremadura,2007,2,4.6
Extremadura,2007,3,4.5
Extremadura,2007,4,4.5
Extremadura,2008,1,4.4
Extremadura,2008,2,4.3
Extremadura,2008,3,4.3
Extremadura,2008,4,5
Extremadura,2009,1,4.7
Extremadura,2009,2,5.5
Extremadura,2009,3,5.6
Extremadura,2009,4,6.1
Extremadura,2010,1,6
Extremadura,2010,2,7.5
Extremadura,2010,3,8.1
Extremadura,2010,4,9.7
Extremadura,2011,1,10.3
Extremadura,2011,2,11.4
Extremadura,2011,3,11.4
Extremadura,2011,4,11.5
Extremadura,2012,1,11.8
Extremadura,2012,2,13.3
Extremadura,2012,3,13.4
Extremadura,2012,4,14.4
Extremadura,2013,1,14.3
Extremadura,2013,2,14.8
Extremadura,2013,3,15.2
Extremadura,2013,4,15.7
Extremadura,2014,1,17.6
Extremadura,2014,2,17.5
Extremadura,2014,3,17.8
Extremadura,2014,4,18.5
Extremadura,2015,1,19.5
Extremadura,2015,2,19.8
Extremadura,2015,3,20
Extremadura,2015,4,20.5
Extremadura,2016,1,21.1
Extremadura,2016,2,22.8
Extremadura,2016,3,22.3
Extremadura,2016,4,22.7
Extremadura,2017,1,23.2
Extremadura,2017,2,23.6
Extremadura,2017,3,23
Extremadura,2017,4,23.5
Extremadura,2018,1,24.4
Extremadura,2018,2,24.4
Extremadura,2018,3,24.5
Extremadura,2018,4,23.9
Extremadura,2019,1,24.9
Extremadura,2019,2,25.3
Extremadura,2019,3,24.9
Cantabria,1995,1,4.6
Cantabria,1995,2,4.4
Cantabria,1995,3,4.2
Cantabria,1995,4,3.9
Cantabria,1996,1,3
Cantabria,1996,2,2.8
Cantabria,1996,3,2.6
Cantabria,1996,4,2.7
Cantabria,1997,1,2.7
Cantabria,1997,2,2.7
Cantabria,1997,3,2.7
Cantabria,1997,4,2.8
Cantabria,1998,1,3
Cantabria,1998,2,2.7
Cantabria,1998,3,2.7
Cantabria,1998,4,2.6
Cantabria,1999,1,3
Cantabria,1999,2,2.9
Cantabria,1999,3,2.8
Cantabria,1999,4,3
Cantabria,2000,1,3
Cantabria,2000,2,3.3
Cantabria,2000,3,3.2
Cantabria,2000,4,3.1
Cantabria,2001,1,3.1
Cantabria,2001,2,3.2
Cantabria,2001,3,3.1
Cantabria,2001,4,3.4
Cantabria,2002,1,3.3
Cantabria,2002,2,3.4
Cantabria,2002,3,2.6
Cantabria,2002,4,3.2
Cantabria,2003,1,3.3
Cantabria,2003,2,3.1
Cantabria,2003,3,3.4
Cantabria,2003,4,3.8
Cantabria,2004,1,3.8
Cantabria,2004,2,3.6
Cantabria,2004,3,3.7
Cantabria,2004,4,3.6
Cantabria,2005,1,3.8
Cantabria,2005,2,3.6
Cantabria,2005,3,3.8
Cantabria,2005,4,3.7
Cantabria,2006,1,3.5
Cantabria,2006,2,2.7
Cantabria,2006,3,2.7
Cantabria,2006,4,3.3
Cantabria,2007,1,3.2
Cantabria,2007,2,3
Cantabria,2007,3,3.1
Cantabria,2007,4,3.4
Cantabria,2008,1,3.5
Cantabria,2008,2,3.1
Cantabria,2008,3,3.7
Cantabria,2008,4,3.9
Cantabria,2009,1,4
Cantabria,2009,2,4.4
Cantabria,2009,3,4.1
Cantabria,2009,4,5.2
Cantabria,2010,1,5
Cantabria,2010,2,5.7
Cantabria,2010,3,7.2
Cantabria,2010,4,7.7
Cantabria,2011,1,9.1
Cantabria,2011,2,10
Cantabria,2011,3,10.5
Cantabria,2011,4,10.3
Cantabria,2012,1,10.5
Cantabria,2012,2,14.4
Cantabria,2012,3,14.3
Cantabria,2012,4,16.7
Cantabria,2013,1,17.6
Cantabria,2013,2,17.9
Cantabria,2013,3,18.2
Cantabria,2013,4,18.5
Cantabria,2014,1,19.4
Cantabria,2014,2,19.9
Cantabria,2014,3,20.1
Cantabria,2014,4,20.3
Cantabria,2015,1,21.3
Cantabria,2015,2,21.3
Cantabria,2015,3,21.2
Cantabria,2015,4,21.9
Cantabria,2016,1,22.1
Cantabria,2016,2,22.5
Cantabria,2016,3,22.7
Cantabria,2016,4,23
Cantabria,2017,1,22.6
Cantabria,2017,2,23.7
Cantabria,2017,3,23.1
Cantabria,2017,4,23.1
Cantabria,2018,1,22.3
Cantabria,2018,2,23.1
Cantabria,2018,3,23.1
Cantabria,2018,4,23
Cantabria,2019,1,23.2
Cantabria,2019,2,22.7
Cantabria,2019,3,22.5
Galicia,1995,1,8.8
Galicia,1995,2,8.5
Galicia,1995,3,9
Galicia,1995,4,8.3
Galicia,1996,1,9.2
Galicia,1996,2,9.3
Galicia,1996,3,9.3
Galicia,1996,4,8.8
Galicia,1997,1,9.1
Galicia,1997,2,9.4
Galicia,1997,3,9.3
Galicia,1997,4,9.1
Galicia,1998,1,9.3
Galicia,1998,2,9.2
Galicia,1998,3,8.9
Galicia,1998,4,9.2
Galicia,1999,1,9.5
Galicia,1999,2,9.5
Galicia,1999,3,9.3
Galicia,1999,4,9.5
Galicia,2000,1,8.8
Galicia,2000,2,8.8
Galicia,2000,3,8.8
Galicia,2000,4,9.2
Galicia,2001,1,9.1
Galicia,2001,2,8.5
Galicia,2001,3,8.3
Galicia,2001,4,8.7
Galicia,2002,1,8.4
Galicia,2002,2,8
Galicia,2002,3,7.8
Galicia,2002,4,8.2
Galicia,2003,1,8
Galicia,2003,2,8
Galicia,2003,3,7.8
Galicia,2003,4,7.7
Galicia,2004,1,7.5
Galicia,2004,2,7.6
Galicia,2004,3,7.4
Galicia,2004,4,7.4
Galicia,2005,1,7.1
Galicia,2005,2,7.2
Galicia,2005,3,7
Galicia,2005,4,7
Galicia,2006,1,6.8
Galicia,2006,2,6.7
Galicia,2006,3,6.3
Galicia,2006,4,6.8
Galicia,2007,1,6.6
Galicia,2007,2,6.2
Galicia,2007,3,6.3
Galicia,2007,4,6.6
Galicia,2008,1,6.2
Galicia,2008,2,6.2
Galicia,2008,3,6.1
Galicia,2008,4,6.7
Galicia,2009,1,6.7
Galicia,2009,2,7.4
Galicia,2009,3,7.8
Galicia,2009,4,8.6
Galicia,2010,1,9.4
Galicia,2010,2,9.9
Galicia,2010,3,10.3
Galicia,2010,4,10.9
Galicia,2011,1,11
Galicia,2011,2,12.3
Galicia,2011,3,12.5
Galicia,2011,4,12.7
Galicia,2012,1,13.5
Galicia,2012,2,14
Galicia,2012,3,14.1
Galicia,2012,4,15.4
Galicia,2013,1,17.7
Galicia,2013,2,17.6
Galicia,2013,3,17.1
Galicia,2013,4,17.2
Galicia,2014,1,18.9
Galicia,2014,2,18.5
Galicia,2014,3,18.3
Galicia,2014,4,18.5
Galicia,2015,1,18.1
Galicia,2015,2,18.5
Galicia,2015,3,18.5
Galicia,2015,4,18.4
Galicia,2016,1,18.7
Galicia,2016,2,18.6
Galicia,2016,3,18.3
Galicia,2016,4,18.6
Galicia,2017,1,19.8
Galicia,2017,2,19.2
Galicia,2017,3,18.7
Galicia,2017,4,18.6
Galicia,2018,1,19.3
Galicia,2018,2,18.8
Galicia,2018,3,18.4
Galicia,2018,4,18.1
Galicia,2019,1,18.4
Galicia,2019,2,18.3
Galicia,2019,3,17.8
Castilla-La Mancha,1995,1,2.6
Castilla-La Mancha,1995,2,2.4
Castilla-La Mancha,1995,3,2.5
Castilla-La Mancha,1995,4,2.6
Castilla-La Mancha,1996,1,2.5
Castilla-La Mancha,1996,2,2.4
Castilla-La Mancha,1996,3,2.4
Castilla-La Mancha,1996,4,2.7
Castilla-La Mancha,1997,1,2.7
Castilla-La Mancha,1997,2,2.9
Castilla-La Mancha,1997,3,3
Castilla-La Mancha,1997,4,2.8
Castilla-La Mancha,1998,1,2.6
Castilla-La Mancha,1998,2,2.9
Castilla-La Mancha,1998,3,2.7
Castilla-La Mancha,1998,4,3
Castilla-La Mancha,1999,1,2.9
Castilla-La Mancha,1999,2,2.6
Castilla-La Mancha,1999,3,2.5
Castilla-La Mancha,1999,4,2.8
Castilla-La Mancha,2000,1,2.8
Castilla-La Mancha,2000,2,2.7
Castilla-La Mancha,2000,3,3
Castilla-La Mancha,2000,4,2.8
Castilla-La Mancha,2001,1,2.7
Castilla-La Mancha,2001,2,2.8
Castilla-La Mancha,2001,3,2.9
Castilla-La Mancha,2001,4,2.6
Castilla-La Mancha,2002,1,2.5
Castilla-La Mancha,2002,2,3
Castilla-La Mancha,2002,3,2.5
Castilla-La Mancha,2002,4,3.1
Castilla-La Mancha,2003,1,3.3
Castilla-La Mancha,2003,2,4.1
Castilla-La Mancha,2003,3,3.9
Castilla-La Mancha,2003,4,2.9
Castilla-La Mancha,2004,1,3.4
Castilla-La Mancha,2004,2,3.9
Castilla-La Mancha,2004,3,4.4
Castilla-La Mancha,2004,4,3.6
Castilla-La Mancha,2005,1,3.5
Castilla-La Mancha,2005,2,3.8
Castilla-La Mancha,2005,3,3.5
Castilla-La Mancha,2005,4,4.2
Castilla-La Mancha,2006,1,4
Castilla-La Mancha,2006,2,3.9
Castilla-La Mancha,2006,3,3.8
Castilla-La Mancha,2006,4,4.4
Castilla-La Mancha,2007,1,4.1
Castilla-La Mancha,2007,2,4.7
Castilla-La Mancha,2007,3,4.1
Castilla-La Mancha,2007,4,4.7
Castilla-La Mancha,2008,1,5
Castilla-La Mancha,2008,2,5.7
Castilla-La Mancha,2008,3,5.8
Castilla-La Mancha,2008,4,6.4
Castilla-La Mancha,2009,1,7.2
Castilla-La Mancha,2009,2,9.2
Castilla-La Mancha,2009,3,8.6
Castilla-La Mancha,2009,4,10.9
Castilla-La Mancha,2010,1,11.2
Castilla-La Mancha,2010,2,12.9
Castilla-La Mancha,2010,3,14.1
Castilla-La Mancha,2010,4,15.6
Castilla-La Mancha,2011,1,16.4
Castilla-La Mancha,2011,2,16.8
Castilla-La Mancha,2011,3,17.7
Castilla-La Mancha,2011,4,17.8
Castilla-La Mancha,2012,1,17.1
Castilla-La Mancha,2012,2,25.5
Castilla-La Mancha,2012,3,25.6
Castilla-La Mancha,2012,4,27.2
Castilla-La Mancha,2013,1,27.5
Castilla-La Mancha,2013,2,28.2
